"Statistic Label","Year","Nationality of Ownership","UNIT","VALUE"
"Actual Current Expenditure - Other Current Costs","2014","Non Irish ownership","Euro Thousand",""
"Actual Current Expenditure - Other Current Costs","2015","All nationalities of ownership","Euro Thousand","725978"
"Actual Current Expenditure - Other Current Costs","2015","Irish ownership","Euro Thousand","227524"
"Actual Current Expenditure - Other Current Costs","2015","Non Irish ownership","Euro Thousand","498454"
"Actual Current Expenditure - Other Current Costs","2016","All nationalities of ownership","Euro Thousand",""
"Actual Current Expenditure - Other Current Costs","2016","Irish ownership","Euro Thousand",""
"Actual Current Expenditure - Other Current Costs","2016","Non Irish ownership","Euro Thousand",""
"Actual Current Expenditure - Other Current Costs","2017","All nationalities of ownership","Euro Thousand","840831"
"Actual Current Expenditure - Other Current Costs","2017","Irish ownership","Euro Thousand","213816"
"Actual Current Expenditure - Other Current Costs","2017","Non Irish ownership","Euro Thousand","627015"
"Actual Current Expenditure - Other Current Costs","2018","All nationalities of ownership","Euro Thousand",""
"Actual Current Expenditure - Other Current Costs","2018","Irish ownership","Euro Thousand",""
"Actual Current Expenditure - Other Current Costs","2018","Non Irish ownership","Euro Thousand",""
"Actual Current Expenditure - Other Current Costs","2019","All nationalities of ownership","Euro Thousand","1010378"
"Actual Current Expenditure - Other Current Costs","2019","Irish ownership","Euro Thousand","256408"
"Actual Current Expenditure - Other Current Costs","2019","Non Irish ownership","Euro Thousand","753970"
"Actual Current Expenditure - Other Current Costs","2020","All nationalities of ownership","Euro Thousand",""
"Actual Current Expenditure - Other Current Costs","2020","Irish ownership","Euro Thousand",""
"Actual Current Expenditure - Other Current Costs","2020","Non Irish ownership","Euro Thousand",""
"Actual Current Expenditure - Other Current Costs","2021","All nationalities of ownership","Euro Thousand","1393645"
"Actual Current Expenditure - Other Current Costs","2021","Irish ownership","Euro Thousand","382944"
"Actual Current Expenditure - Other Current Costs","2021","Non Irish ownership","Euro Thousand","1010701"
"Actual Current Expenditure - Other Current Costs","2022","All nationalities of ownership","Euro Thousand",""
"Actual Current Expenditure - Other Current Costs","2022","Irish ownership","Euro Thousand",""
"Actual Current Expenditure - Other Current Costs","2022","Non Irish ownership","Euro Thousand",""
"Actual Current Expenditure - Other Current Costs","2023","All nationalities of ownership","Euro Thousand","1975102"
"Actual Current Expenditure - Other Current Costs","2023","Irish ownership","Euro Thousand",""
"Actual Current Expenditure - Other Current Costs","2023","Non Irish ownership","Euro Thousand",""
"Actual Current Expenditure - Other Current Costs","2024","All nationalities of ownership","Euro Thousand",""
"Actual Current Expenditure - Other Current Costs","2024","Irish ownership","Euro Thousand",""
"Actual Current Expenditure - Other Current Costs","2024","Non Irish ownership","Euro Thousand",""
"Actual Total Current Expenditure","2007","All nationalities of ownership","Euro Thousand","1323914"
"Actual Total Current Expenditure","2007","Irish ownership","Euro Thousand","410627"
"Actual Total Current Expenditure","2007","Non Irish ownership","Euro Thousand","913287"
"Actual Total Current Expenditure","2008","All nationalities of ownership","Euro Thousand",""
"Actual Total Current Expenditure","2008","Irish ownership","Euro Thousand",""
"Actual Total Current Expenditure","2008","Non Irish ownership","Euro Thousand",""
"Actual Total Current Expenditure","2009","All nationalities of ownership","Euro Thousand","1542843"
"Actual Total Current Expenditure","2009","Irish ownership","Euro Thousand","472177"
"Actual Total Current Expenditure","2009","Non Irish ownership","Euro Thousand","1070666"
"Actual Total Current Expenditure","2010","All nationalities of ownership","Euro Thousand",""
"Actual Total Current Expenditure","2010","Irish ownership","Euro Thousand",""
"Actual Total Current Expenditure","2010","Non Irish ownership","Euro Thousand",""
"Actual Total Current Expenditure","2011","All nationalities of ownership","Euro Thousand","1606911"
"Actual Total Current Expenditure","2011","Irish ownership","Euro Thousand","496101"
"Actual Total Current Expenditure","2011","Non Irish ownership","Euro Thousand","1110810"
"Actual Total Current Expenditure","2012","All nationalities of ownership","Euro Thousand",""
"Actual Total Current Expenditure","2012","Irish ownership","Euro Thousand",""
"Actual Total Current Expenditure","2012","Non Irish ownership","Euro Thousand",""
"Actual Total Current Expenditure","2013","All nationalities of ownership","Euro Thousand","1874663"
"Actual Total Current Expenditure","2013","Irish ownership","Euro Thousand","645065"
"Actual Total Current Expenditure","2013","Non Irish ownership","Euro Thousand","1229598"
"Actual Total Current Expenditure","2014","All nationalities of ownership","Euro Thousand",""
"Actual Total Current Expenditure","2014","Irish ownership","Euro Thousand",""
"Actual Total Current Expenditure","2014","Non Irish ownership","Euro Thousand",""
"Actual Total Current Expenditure","2015","All nationalities of ownership","Euro Thousand","2075955"
"Actual Total Current Expenditure","2015","Irish ownership","Euro Thousand","750750"
"Actual Total Current Expenditure","2015","Non Irish ownership","Euro Thousand","1325205"
"Actual Total Current Expenditure","2016","All nationalities of ownership","Euro Thousand",""
"Actual Total Current Expenditure","2016","Irish ownership","Euro Thousand",""
"Actual Total Current Expenditure","2016","Non Irish ownership","Euro Thousand",""
"Actual Total Current Expenditure","2017","All nationalities of ownership","Euro Thousand","2492173"
"Actual Total Current Expenditure","2017","Irish ownership","Euro Thousand","763759"
"Actual Total Current Expenditure","2017","Non Irish ownership","Euro Thousand","1728414"
"Actual Total Current Expenditure","2018","All nationalities of ownership","Euro Thousand",""
"Actual Total Current Expenditure","2018","Irish ownership","Euro Thousand",""
"Actual Total Current Expenditure","2018","Non Irish ownership","Euro Thousand",""
"Actual Total Current Expenditure","2019","All nationalities of ownership","Euro Thousand","2700588"
"Actual Total Current Expenditure","2019","Irish ownership","Euro Thousand","724978"
"Actual Total Current Expenditure","2019","Non Irish ownership","Euro Thousand","1975610"
"Actual Total Current Expenditure","2020","All nationalities of ownership","Euro Thousand",""
"Actual Total Current Expenditure","2020","Irish ownership","Euro Thousand",""
"Actual Total Current Expenditure","2020","Non Irish ownership","Euro Thousand",""
"Actual Total Current Expenditure","2021","All nationalities of ownership","Euro Thousand","3438954"
"Actual Total Current Expenditure","2021","Irish ownership","Euro Thousand","965461"
"Actual Total Current Expenditure","2021","Non Irish ownership","Euro Thousand","2473493"
"Actual Total Current Expenditure","2022","All nationalities of ownership","Euro Thousand",""
"Actual Total Current Expenditure","2022","Irish ownership","Euro Thousand",""
"Actual Total Current Expenditure","2022","Non Irish ownership","Euro Thousand",""
"Actual Total Current Expenditure","2023","All nationalities of ownership","Euro Thousand","4591952"
"Actual Total Current Expenditure","2023","Irish ownership","Euro Thousand",""
"Actual Total Current Expenditure","2023","Non Irish ownership","Euro Thousand",""
"Actual Total Current Expenditure","2024","All nationalities of ownership","Euro Thousand",""
"Actual Total Current Expenditure","2024","Irish ownership","Euro Thousand",""
"Actual Total Current Expenditure","2024","Non Irish ownership","Euro Thousand",""
"Actual Capital Expenditure - Land and Buildings","2007","All nationalities of ownership","Euro Thousand","73566"
"Actual Capital Expenditure - Land and Buildings","2007","Irish ownership","Euro Thousand","7410"
"Actual Capital Expenditure - Land and Buildings","2007","Non Irish ownership","Euro Thousand","66157"
"Actual Capital Expenditure - Land and Buildings","2008","All nationalities of ownership","Euro Thousand",""
"Actual Capital Expenditure - Land and Buildings","2008","Irish ownership","Euro Thousand",""
"Actual Capital Expenditure - Land and Buildings","2008","Non Irish ownership","Euro Thousand",""
"Actual Capital Expenditure - Land and Buildings","2009","All nationalities of ownership","Euro Thousand","49613"
"Actual Capital Expenditure - Land and Buildings","2009","Irish ownership","Euro Thousand","12425"
"Actual Capital Expenditure - Land and Buildings","2009","Non Irish ownership","Euro Thousand","37189"
"Actual Capital Expenditure - Land and Buildings","2010","All nationalities of ownership","Euro Thousand",""
"Actual Capital Expenditure - Land and Buildings","2010","Irish ownership","Euro Thousand",""
"Actual Capital Expenditure - Land and Buildings","2010","Non Irish ownership","Euro Thousand",""
"Actual Capital Expenditure - Land and Buildings","2011","All nationalities of ownership","Euro Thousand","32188"
"Actual Capital Expenditure - Land and Buildings","2011","Irish ownership","Euro Thousand","11740"
"Actual Capital Expenditure - Land and Buildings","2011","Non Irish ownership","Euro Thousand","20447"
"Actual Capital Expenditure - Land and Buildings","2012","All nationalities of ownership","Euro Thousand",""
"Actual Capital Expenditure - Land and Buildings","2012","Irish ownership","Euro Thousand",""
"Actual Capital Expenditure - Land and Buildings","2012","Non Irish ownership","Euro Thousand",""
"Actual Capital Expenditure - Land and Buildings","2013","All nationalities of ownership","Euro Thousand","29664"
"Actual Capital Expenditure - Land and Buildings","2013","Irish ownership","Euro Thousand","11233"
"Actual Capital Expenditure - Land and Buildings","2013","Non Irish ownership","Euro Thousand","18431"
"Actual Capital Expenditure - Land and Buildings","2014","All nationalities of ownership","Euro Thousand",""
"Actual Capital Expenditure - Land and Buildings","2014","Irish ownership","Euro Thousand",""
"Actual Capital Expenditure - Land and Buildings","2014","Non Irish ownership","Euro Thousand",""
"Actual Capital Expenditure - Land and Buildings","2015","All nationalities of ownership","Euro Thousand","28909"
"Actual Capital Expenditure - Land and Buildings","2015","Irish ownership","Euro Thousand","8093"
"Actual Capital Expenditure - Land and Buildings","2015","Non Irish ownership","Euro Thousand","20815"
"Actual Capital Expenditure - Land and Buildings","2016","All nationalities of ownership","Euro Thousand",""
"Actual Capital Expenditure - Land and Buildings","2016","Irish ownership","Euro Thousand",""
"Actual Capital Expenditure - Land and Buildings","2016","Non Irish ownership","Euro Thousand",""
"Actual Capital Expenditure - Land and Buildings","2017","All nationalities of ownership","Euro Thousand","82480"
"Actual Capital Expenditure - Land and Buildings","2017","Irish ownership","Euro Thousand","15357"
"Actual Capital Expenditure - Land and Buildings","2017","Non Irish ownership","Euro Thousand","67122"
"Actual Capital Expenditure - Land and Buildings","2018","All nationalities of ownership","Euro Thousand",""
"Actual Capital Expenditure - Land and Buildings","2018","Irish ownership","Euro Thousand",""
"Actual Capital Expenditure - Land and Buildings","2018","Non Irish ownership","Euro Thousand",""
"Actual Capital Expenditure - Land and Buildings","2019","All nationalities of ownership","Euro Thousand","36597"
"Actual Capital Expenditure - Land and Buildings","2019","Irish ownership","Euro Thousand","5380"
"Actual Capital Expenditure - Land and Buildings","2019","Non Irish ownership","Euro Thousand","31217"
"Actual Capital Expenditure - Land and Buildings","2020","All nationalities of ownership","Euro Thousand",""
"Actual Capital Expenditure - Land and Buildings","2020","Irish ownership","Euro Thousand",""
"Actual Capital Expenditure - Land and Buildings","2020","Non Irish ownership","Euro Thousand",""
"Actual Capital Expenditure - Land and Buildings","2021","All nationalities of ownership","Euro Thousand","70011"
"Actual Capital Expenditure - Land and Buildings","2021","Irish ownership","Euro Thousand","32585"
"Actual Capital Expenditure - Land and Buildings","2021","Non Irish ownership","Euro Thousand","37426"
"Actual Capital Expenditure - Land and Buildings","2022","All nationalities of ownership","Euro Thousand",""
"Actual Capital Expenditure - Land and Buildings","2022","Irish ownership","Euro Thousand",""
"Actual Capital Expenditure - Land and Buildings","2022","Non Irish ownership","Euro Thousand",""
"Actual Capital Expenditure - Land and Buildings","2023","All nationalities of ownership","Euro Thousand",""
"Actual Capital Expenditure - Land and Buildings","2023","Irish ownership","Euro Thousand",""
"Actual Capital Expenditure - Land and Buildings","2023","Non Irish ownership","Euro Thousand",""
"Actual Capital Expenditure - Land and Buildings","2024","All nationalities of ownership","Euro Thousand",""
"Actual Capital Expenditure - Land and Buildings","2024","Irish ownership","Euro Thousand",""
"Actual Capital Expenditure - Land and Buildings","2024","Non Irish ownership","Euro Thousand",""
"Actual Capital Expenditure- Payments made for licences to use intellectual products","2007","All nationalities of ownership","Euro Thousand",""
"Actual Capital Expenditure- Payments made for licences to use intellectual products","2007","Irish ownership","Euro Thousand",""
"Actual Capital Expenditure- Payments made for licences to use intellectual products","2007","Non Irish ownership","Euro Thousand",""
"Actual Capital Expenditure- Payments made for licences to use intellectual products","2008","All nationalities of ownership","Euro Thousand",""
"Actual Capital Expenditure- Payments made for licences to use intellectual products","2008","Irish ownership","Euro Thousand",""
"Actual Capital Expenditure- Payments made for licences to use intellectual products","2008","Non Irish ownership","Euro Thousand",""
"Actual Capital Expenditure- Payments made for licences to use intellectual products","2009","All nationalities of ownership","Euro Thousand","23967"
"Actual Capital Expenditure- Payments made for licences to use intellectual products","2009","Irish ownership","Euro Thousand","22521"
"Actual Capital Expenditure- Payments made for licences to use intellectual products","2009","Non Irish ownership","Euro Thousand","1446"
"Actual Capital Expenditure- Payments made for licences to use intellectual products","2010","All nationalities of ownership","Euro Thousand",""
"Actual Capital Expenditure- Payments made for licences to use intellectual products","2010","Irish ownership","Euro Thousand",""
"Actual Capital Expenditure- Payments made for licences to use intellectual products","2010","Non Irish ownership","Euro Thousand",""
"Actual Capital Expenditure- Payments made for licences to use intellectual products","2011","All nationalities of ownership","Euro Thousand","6502"
"Actual Capital Expenditure- Payments made for licences to use intellectual products","2011","Irish ownership","Euro Thousand","3334"
"Actual Capital Expenditure- Payments made for licences to use intellectual products","2011","Non Irish ownership","Euro Thousand","3168"
"Actual Capital Expenditure- Payments made for licences to use intellectual products","2012","All nationalities of ownership","Euro Thousand",""
"Actual Capital Expenditure- Payments made for licences to use intellectual products","2012","Irish ownership","Euro Thousand",""
"Actual Capital Expenditure- Payments made for licences to use intellectual products","2012","Non Irish ownership","Euro Thousand",""
"Actual Capital Expenditure- Payments made for licences to use intellectual products","2013","All nationalities of ownership","Euro Thousand","9901"
"Actual Capital Expenditure- Payments made for licences to use intellectual products","2013","Irish ownership","Euro Thousand","4325"
"Actual Capital Expenditure- Payments made for licences to use intellectual products","2013","Non Irish ownership","Euro Thousand","5575"
"Actual Capital Expenditure- Payments made for licences to use intellectual products","2014","All nationalities of ownership","Euro Thousand",""
"Actual Capital Expenditure- Payments made for licences to use intellectual products","2014","Irish ownership","Euro Thousand",""
"Actual Capital Expenditure- Payments made for licences to use intellectual products","2014","Non Irish ownership","Euro Thousand",""
"Actual Capital Expenditure- Payments made for licences to use intellectual products","2015","All nationalities of ownership","Euro Thousand","12896"
"Actual Capital Expenditure- Payments made for licences to use intellectual products","2015","Irish ownership","Euro Thousand","5120"
"Actual Capital Expenditure- Payments made for licences to use intellectual products","2015","Non Irish ownership","Euro Thousand","7775"
"Actual Capital Expenditure- Payments made for licences to use intellectual products","2016","All nationalities of ownership","Euro Thousand",""
"Actual Capital Expenditure- Payments made for licences to use intellectual products","2016","Irish ownership","Euro Thousand",""
"Actual Capital Expenditure- Payments made for licences to use intellectual products","2016","Non Irish ownership","Euro Thousand",""
"Actual Capital Expenditure- Payments made for licences to use intellectual products","2017","All nationalities of ownership","Euro Thousand","25693"
"Actual Capital Expenditure- Payments made for licences to use intellectual products","2017","Irish ownership","Euro Thousand","17829"
"Actual Capital Expenditure- Payments made for licences to use intellectual products","2017","Non Irish ownership","Euro Thousand","7864"
"Actual Capital Expenditure- Payments made for licences to use intellectual products","2018","All nationalities of ownership","Euro Thousand",""
"Actual Capital Expenditure- Payments made for licences to use intellectual products","2018","Irish ownership","Euro Thousand",""
"Actual Capital Expenditure- Payments made for licences to use intellectual products","2018","Non Irish ownership","Euro Thousand",""
"Actual Capital Expenditure- Payments made for licences to use intellectual products","2019","All nationalities of ownership","Euro Thousand","121484"
"Actual Capital Expenditure- Payments made for licences to use intellectual products","2019","Irish ownership","Euro Thousand","3896"
"Actual Capital Expenditure- Payments made for licences to use intellectual products","2019","Non Irish ownership","Euro Thousand","117588"
"Actual Capital Expenditure- Payments made for licences to use intellectual products","2020","All nationalities of ownership","Euro Thousand",""
"Actual Capital Expenditure- Payments made for licences to use intellectual products","2020","Irish ownership","Euro Thousand",""
"Actual Capital Expenditure- Payments made for licences to use intellectual products","2020","Non Irish ownership","Euro Thousand",""
"Actual Capital Expenditure- Payments made for licences to use intellectual products","2021","All nationalities of ownership","Euro Thousand","21240"
"Actual Capital Expenditure- Payments made for licences to use intellectual products","2021","Irish ownership","Euro Thousand","6971"
"Actual Capital Expenditure- Payments made for licences to use intellectual products","2021","Non Irish ownership","Euro Thousand","14269"
"Actual Capital Expenditure- Payments made for licences to use intellectual products","2022","All nationalities of ownership","Euro Thousand",""
"Actual Capital Expenditure- Payments made for licences to use intellectual products","2022","Irish ownership","Euro Thousand",""
"Actual Capital Expenditure- Payments made for licences to use intellectual products","2022","Non Irish ownership","Euro Thousand",""
"Actual Capital Expenditure- Payments made for licences to use intellectual products","2023","All nationalities of ownership","Euro Thousand",""
"Actual Capital Expenditure- Payments made for licences to use intellectual products","2023","Irish ownership","Euro Thousand",""
"Actual Capital Expenditure- Payments made for licences to use intellectual products","2023","Non Irish ownership","Euro Thousand",""
"Actual Capital Expenditure- Payments made for licences to use intellectual products","2024","All nationalities of ownership","Euro Thousand",""
"Actual Capital Expenditure- Payments made for licences to use intellectual products","2024","Irish ownership","Euro Thousand",""
"Actual Capital Expenditure- Payments made for licences to use intellectual products","2024","Non Irish ownership","Euro Thousand",""
"Actual Capital Expenditure - Instruments and Equipment (excluding software)","2007","All nationalities of ownership","Euro Thousand","205704"
"Actual Capital Expenditure - Instruments and Equipment (excluding software)","2007","Irish ownership","Euro Thousand","24974"
"Actual Capital Expenditure - Instruments and Equipment (excluding software)","2007","Non Irish ownership","Euro Thousand","180730"
"Actual Capital Expenditure - Instruments and Equipment (excluding software)","2008","All nationalities of ownership","Euro Thousand",""
"Actual Capital Expenditure - Instruments and Equipment (excluding software)","2008","Irish ownership","Euro Thousand",""
"Actual Capital Expenditure - Instruments and Equipment (excluding software)","2008","Non Irish ownership","Euro Thousand",""
"Actual Capital Expenditure - Instruments and Equipment (excluding software)","2009","All nationalities of ownership","Euro Thousand","221726"
"Actual Capital Expenditure - Instruments and Equipment (excluding software)","2009","Irish ownership","Euro Thousand","31491"
"Actual Capital Expenditure - Instruments and Equipment (excluding software)","2009","Non Irish ownership","Euro Thousand","190235"
"Actual Capital Expenditure - Instruments and Equipment (excluding software)","2010","All nationalities of ownership","Euro Thousand",""
"Actual Capital Expenditure - Instruments and Equipment (excluding software)","2010","Irish ownership","Euro Thousand",""
"Actual Capital Expenditure - Instruments and Equipment (excluding software)","2010","Non Irish ownership","Euro Thousand",""
"Actual Capital Expenditure - Instruments and Equipment (excluding software)","2011","All nationalities of ownership","Euro Thousand","92693"
"Actual Capital Expenditure - Instruments and Equipment (excluding software)","2011","Irish ownership","Euro Thousand","19651"
"Actual Capital Expenditure - Instruments and Equipment (excluding software)","2011","Non Irish ownership","Euro Thousand","73042"
"Actual Capital Expenditure - Instruments and Equipment (excluding software)","2012","All nationalities of ownership","Euro Thousand",""
"Actual Capital Expenditure - Instruments and Equipment (excluding software)","2012","Irish ownership","Euro Thousand",""
"Actual Capital Expenditure - Instruments and Equipment (excluding software)","2012","Non Irish ownership","Euro Thousand",""
"Actual Capital Expenditure - Instruments and Equipment (excluding software)","2013","All nationalities of ownership","Euro Thousand","74941"
"Actual Capital Expenditure - Instruments and Equipment (excluding software)","2013","Irish ownership","Euro Thousand","18571"
"Actual Capital Expenditure - Instruments and Equipment (excluding software)","2013","Non Irish ownership","Euro Thousand","56370"
"Actual Capital Expenditure - Instruments and Equipment (excluding software)","2014","All nationalities of ownership","Euro Thousand",""
"Actual Capital Expenditure - Instruments and Equipment (excluding software)","2014","Irish ownership","Euro Thousand",""
"Actual Capital Expenditure - Instruments and Equipment (excluding software)","2014","Non Irish ownership","Euro Thousand",""
"Actual Capital Expenditure - Instruments and Equipment (excluding software)","2015","All nationalities of ownership","Euro Thousand","83454"
"Actual Capital Expenditure - Instruments and Equipment (excluding software)","2015","Irish ownership","Euro Thousand","23291"
"Actual Capital Expenditure - Instruments and Equipment (excluding software)","2015","Non Irish ownership","Euro Thousand","60163"
"Actual Capital Expenditure - Instruments and Equipment (excluding software)","2016","All nationalities of ownership","Euro Thousand",""
"Actual Capital Expenditure - Instruments and Equipment (excluding software)","2016","Irish ownership","Euro Thousand",""
"Actual Capital Expenditure - Instruments and Equipment (excluding software)","2016","Non Irish ownership","Euro Thousand",""
"Actual Capital Expenditure - Instruments and Equipment (excluding software)","2017","All nationalities of ownership","Euro Thousand","120411"
"Actual Capital Expenditure - Instruments and Equipment (excluding software)","2017","Irish ownership","Euro Thousand","23631"
"Actual Capital Expenditure - Instruments and Equipment (excluding software)","2017","Non Irish ownership","Euro Thousand","96779"
"Actual Capital Expenditure - Instruments and Equipment (excluding software)","2018","All nationalities of ownership","Euro Thousand",""
"Actual Capital Expenditure - Instruments and Equipment (excluding software)","2018","Irish ownership","Euro Thousand",""
"Actual Capital Expenditure - Instruments and Equipment (excluding software)","2018","Non Irish ownership","Euro Thousand",""
"Actual Capital Expenditure - Instruments and Equipment (excluding software)","2019","All nationalities of ownership","Euro Thousand","175239"
"Actual Capital Expenditure - Instruments and Equipment (excluding software)","2019","Irish ownership","Euro Thousand","24690"
"Actual Capital Expenditure - Instruments and Equipment (excluding software)","2019","Non Irish ownership","Euro Thousand","150550"
"Actual Capital Expenditure - Instruments and Equipment (excluding software)","2020","All nationalities of ownership","Euro Thousand",""
"Actual Capital Expenditure - Instruments and Equipment (excluding software)","2020","Irish ownership","Euro Thousand",""
"Actual Capital Expenditure - Instruments and Equipment (excluding software)","2020","Non Irish ownership","Euro Thousand",""
"Actual Capital Expenditure - Instruments and Equipment (excluding software)","2021","All nationalities of ownership","Euro Thousand","176930"
"Actual Capital Expenditure - Instruments and Equipment (excluding software)","2021","Irish ownership","Euro Thousand","59442"
"Actual Capital Expenditure - Instruments and Equipment (excluding software)","2021","Non Irish ownership","Euro Thousand","117488"
"Actual Capital Expenditure - Instruments and Equipment (excluding software)","2022","All nationalities of ownership","Euro Thousand",""
"Actual Capital Expenditure - Instruments and Equipment (excluding software)","2022","Irish ownership","Euro Thousand",""
"Actual Capital Expenditure - Instruments and Equipment (excluding software)","2022","Non Irish ownership","Euro Thousand",""
"Actual Capital Expenditure - Instruments and Equipment (excluding software)","2023","All nationalities of ownership","Euro Thousand",""
"Actual Capital Expenditure - Instruments and Equipment (excluding software)","2023","Irish ownership","Euro Thousand",""
"Actual Capital Expenditure - Instruments and Equipment (excluding software)","2023","Non Irish ownership","Euro Thousand",""
"Actual Capital Expenditure - Instruments and Equipment (excluding software)","2024","All nationalities of ownership","Euro Thousand",""
"Actual Capital Expenditure - Instruments and Equipment (excluding software)","2024","Irish ownership","Euro Thousand",""
"Actual Capital Expenditure - Instruments and Equipment (excluding software)","2024","Non Irish ownership","Euro Thousand",""
"Actual Capital Expenditure - Software purchased wholly for Research and Development purposes","2007","All nationalities of ownership","Euro Thousand",""
"Actual Capital Expenditure - Software purchased wholly for Research and Development purposes","2007","Irish ownership","Euro Thousand",""
"Actual Capital Expenditure - Software purchased wholly for Research and Development purposes","2007","Non Irish ownership","Euro Thousand",""
"Actual Capital Expenditure - Software purchased wholly for Research and Development purposes","2008","All nationalities of ownership","Euro Thousand",""
"Actual Capital Expenditure - Software purchased wholly for Research and Development purposes","2008","Irish ownership","Euro Thousand",""
"Actual Capital Expenditure - Software purchased wholly for Research and Development purposes","2008","Non Irish ownership","Euro Thousand",""
"Actual Capital Expenditure - Software purchased wholly for Research and Development purposes","2009","All nationalities of ownership","Euro Thousand","27640"
"Actual Capital Expenditure - Software purchased wholly for Research and Development purposes","2009","Irish ownership","Euro Thousand","22192"
"Actual Capital Expenditure - Software purchased wholly for Research and Development purposes","2009","Non Irish ownership","Euro Thousand","5448"
"Actual Capital Expenditure - Software purchased wholly for Research and Development purposes","2010","All nationalities of ownership","Euro Thousand",""
"Actual Capital Expenditure - Software purchased wholly for Research and Development purposes","2010","Irish ownership","Euro Thousand",""
"Actual Capital Expenditure - Software purchased wholly for Research and Development purposes","2010","Non Irish ownership","Euro Thousand",""
"Actual Capital Expenditure - Software purchased wholly for Research and Development purposes","2011","All nationalities of ownership","Euro Thousand","12321"
"Actual Capital Expenditure - Software purchased wholly for Research and Development purposes","2011","Irish ownership","Euro Thousand","3640"
"Actual Capital Expenditure - Software purchased wholly for Research and Development purposes","2011","Non Irish ownership","Euro Thousand","8681"
"Actual Capital Expenditure - Software purchased wholly for Research and Development purposes","2012","All nationalities of ownership","Euro Thousand",""
"Actual Capital Expenditure - Software purchased wholly for Research and Development purposes","2012","Irish ownership","Euro Thousand",""
"Actual Capital Expenditure - Software purchased wholly for Research and Development purposes","2012","Non Irish ownership","Euro Thousand",""
"Actual Capital Expenditure - Software purchased wholly for Research and Development purposes","2013","All nationalities of ownership","Euro Thousand","15794"
"Actual Capital Expenditure - Software purchased wholly for Research and Development purposes","2013","Irish ownership","Euro Thousand","10145"
"Actual Capital Expenditure - Software purchased wholly for Research and Development purposes","2013","Non Irish ownership","Euro Thousand","5650"
"Actual Capital Expenditure - Software purchased wholly for Research and Development purposes","2014","All nationalities of ownership","Euro Thousand",""
"Actual Capital Expenditure - Software purchased wholly for Research and Development purposes","2014","Irish ownership","Euro Thousand",""
"Actual Capital Expenditure - Software purchased wholly for Research and Development purposes","2014","Non Irish ownership","Euro Thousand",""
"Actual Capital Expenditure - Software purchased wholly for Research and Development purposes","2015","All nationalities of ownership","Euro Thousand","12738"
"Actual Capital Expenditure - Software purchased wholly for Research and Development purposes","2015","Irish ownership","Euro Thousand","7691"
"Actual Capital Expenditure - Software purchased wholly for Research and Development purposes","2015","Non Irish ownership","Euro Thousand","5048"
"Actual Capital Expenditure - Software purchased wholly for Research and Development purposes","2016","All nationalities of ownership","Euro Thousand",""
"Actual Capital Expenditure - Software purchased wholly for Research and Development purposes","2016","Irish ownership","Euro Thousand",""
"Actual Capital Expenditure - Software purchased wholly for Research and Development purposes","2016","Non Irish ownership","Euro Thousand",""
"Actual Capital Expenditure - Software purchased wholly for Research and Development purposes","2017","All nationalities of ownership","Euro Thousand","19335"
"Actual Capital Expenditure - Software purchased wholly for Research and Development purposes","2017","Irish ownership","Euro Thousand","11907"
"Actual Capital Expenditure - Software purchased wholly for Research and Development purposes","2017","Non Irish ownership","Euro Thousand","7428"
"Actual Capital Expenditure - Software purchased wholly for Research and Development purposes","2018","All nationalities of ownership","Euro Thousand",""
"Actual Capital Expenditure - Software purchased wholly for Research and Development purposes","2018","Irish ownership","Euro Thousand",""
"Actual Capital Expenditure - Software purchased wholly for Research and Development purposes","2018","Non Irish ownership","Euro Thousand",""
"Actual Capital Expenditure - Software purchased wholly for Research and Development purposes","2019","All nationalities of ownership","Euro Thousand","17188"
"Actual Capital Expenditure - Software purchased wholly for Research and Development purposes","2019","Irish ownership","Euro Thousand","11971"
"Actual Capital Expenditure - Software purchased wholly for Research and Development purposes","2019","Non Irish ownership","Euro Thousand","5216"
"Actual Capital Expenditure - Software purchased wholly for Research and Development purposes","2020","All nationalities of ownership","Euro Thousand",""
"Actual Capital Expenditure - Software purchased wholly for Research and Development purposes","2020","Irish ownership","Euro Thousand",""
"Actual Capital Expenditure - Software purchased wholly for Research and Development purposes","2020","Non Irish ownership","Euro Thousand",""
"Actual Capital Expenditure - Software purchased wholly for Research and Development purposes","2021","All nationalities of ownership","Euro Thousand","16675"
"Actual Capital Expenditure - Software purchased wholly for Research and Development purposes","2021","Irish ownership","Euro Thousand","7586"
"Actual Capital Expenditure - Software purchased wholly for Research and Development purposes","2021","Non Irish ownership","Euro Thousand","9089"
"Actual Capital Expenditure - Software purchased wholly for Research and Development purposes","2022","All nationalities of ownership","Euro Thousand",""
"Actual Capital Expenditure - Software purchased wholly for Research and Development purposes","2022","Irish ownership","Euro Thousand",""
"Actual Capital Expenditure - Software purchased wholly for Research and Development purposes","2022","Non Irish ownership","Euro Thousand",""
"Actual Capital Expenditure - Software purchased wholly for Research and Development purposes","2023","All nationalities of ownership","Euro Thousand",""
"Actual Capital Expenditure - Software purchased wholly for Research and Development purposes","2023","Irish ownership","Euro Thousand",""
"Actual Capital Expenditure - Software purchased wholly for Research and Development purposes","2023","Non Irish ownership","Euro Thousand",""
"Actual Capital Expenditure - Software purchased wholly for Research and Development purposes","2024","All nationalities of ownership","Euro Thousand",""
